data_set;fs_method;learner;ensemble_model_name;positive_class;feature_x_value;probability;novelty
development;mrmr;glm;ensemble.1.1;0;0;1;0.48938235758646
development;mrmr;glm;ensemble.1.1;1;0;2.6721349393279e-119;0.48938235758646
development;mrmr;glm;ensemble.1.1;2;0;5.12787280227438e-115;0.48938235758646
development;mrmr;glm;ensemble.1.1;0;0.069397104947768;1;0.49942135270964
development;mrmr;glm;ensemble.1.1;1;0.069397104947768;5.19007862210397e-118;0.49942135270964
development;mrmr;glm;ensemble.1.1;2;0.069397104947768;7.2520142364608e-114;0.49942135270964
development;mrmr;glm;ensemble.1.1;0;0.360058309037901;1;0.529668410701553
development;mrmr;glm;ensemble.1.1;1;0.360058309037901;1.01281246394082e-112;0.529668410701553
development;mrmr;glm;ensemble.1.1;2;0.360058309037901;3.7213586130481e-109;0.529668410701553
development;mrmr;glm;ensemble.1.1;0;0.845241636846324;1;0.62707450939671
development;mrmr;glm;ensemble.1.1;1;0.845241636846324;1.19871493770806e-104;0.62707450939671
development;mrmr;glm;ensemble.1.1;2;0.845241636846324;1.31763514607848e-101;0.62707450939671
development;mrmr;glm;ensemble.1.1;0;1.49013166282756;1;0.662283707985957
development;mrmr;glm;ensemble.1.1;1;1.49013166282756;1.397936842034e-95;0.662283707985957
development;mrmr;glm;ensemble.1.1;2;1.49013166282756;1.91931198905857e-92;0.662283707985957
development;mrmr;glm;ensemble.1.1;0;2.25991296143614;1;0.68001206337129
development;mrmr;glm;ensemble.1.1;1;2.25991296143614;1.37168448808795e-85;0.68001206337129
development;mrmr;glm;ensemble.1.1;2;2.25991296143614;1.24014453561799e-82;0.68001206337129
development;mrmr;glm;ensemble.1.1;0;3.11977010712656;1;0.663254762266519
development;mrmr;glm;ensemble.1.1;1;3.11977010712656;2.3668921092245e-75;0.663254762266519
development;mrmr;glm;ensemble.1.1;2;3.11977010712656;1.029389336098e-72;0.663254762266519
development;mrmr;glm;ensemble.1.1;0;4.03488767435337;1;0.624364395532584
development;mrmr;glm;ensemble.1.1;1;4.03488767435337;1.3197292774411e-65;0.624364395532584
development;mrmr;glm;ensemble.1.1;2;4.03488767435337;4.54819655957768e-64;0.624364395532584
development;mrmr;glm;ensemble.1.1;0;4.97045023757108;1;0.616878117388148
development;mrmr;glm;ensemble.1.1;1;4.97045023757108;4.62293201679026e-57;0.616878117388148
development;mrmr;glm;ensemble.1.1;2;4.97045023757108;8.85179787945516e-56;0.616878117388148
development;mrmr;glm;ensemble.1.1;0;5.89164237123421;1;0.57681042780731
development;mrmr;glm;ensemble.1.1;1;5.89164237123421;1.25263710903369e-48;0.57681042780731
development;mrmr;glm;ensemble.1.1;2;5.89164237123421;1.2811881058876e-47;0.57681042780731
development;mrmr;glm;ensemble.1.1;0;6.76364864979728;1;0.575148986331611
development;mrmr;glm;ensemble.1.1;1;6.76364864979728;1.00947589168509e-40;0.575148986331611
development;mrmr;glm;ensemble.1.1;2;6.76364864979728;6.21967988958998e-40;0.575148986331611
development;mrmr;glm;ensemble.1.1;0;7.55165364771481;1;0.559261098686404
development;mrmr;glm;ensemble.1.1;1;7.55165364771481;1.06018147051365e-33;0.559261098686404
development;mrmr;glm;ensemble.1.1;2;7.55165364771481;4.16828121946018e-33;0.559261098686404
development;mrmr;glm;ensemble.1.1;0;8.22084193944133;1;0.535753496909329
development;mrmr;glm;ensemble.1.1;1;8.22084193944133;7.53023804269973e-28;0.535753496909329
development;mrmr;glm;ensemble.1.1;2;8.22084193944133;2.00547187417184e-27;0.535753496909329
development;mrmr;glm;ensemble.1.1;0;8.74923194322849;1;0.529323853055224
development;mrmr;glm;ensemble.1.1;1;8.74923194322849;2.58144399650235e-23;0.529323853055224
development;mrmr;glm;ensemble.1.1;2;8.74923194322849;5.51568439915456e-23;0.529323853055224
development;mrmr;glm;ensemble.1.1;0;9.19427704442877;1;0.518423171524893
development;mrmr;glm;ensemble.1.1;1;9.19427704442877;1.50606756822071e-19;0.518423171524893
development;mrmr;glm;ensemble.1.1;2;9.19427704442877;2.74081640458379e-19;0.518423171524893
development;mrmr;glm;ensemble.1.1;0;9.57300812869921;1;0.513378430390021
development;mrmr;glm;ensemble.1.1;1;9.57300812869921;2.22008666017642e-16;0.513378430390021
development;mrmr;glm;ensemble.1.1;2;9.57300812869921;3.55869041204634e-16;0.513378430390021
development;mrmr;glm;ensemble.1.1;0;9.89131843213476;0.999999999999785;0.513930058749386
development;mrmr;glm;ensemble.1.1;1;9.89131843213476;9.65785195751393e-14;0.513930058749386
development;mrmr;glm;ensemble.1.1;2;9.89131843213476;1.4017871802152e-13;0.513930058749386
development;mrmr;glm;ensemble.1.1;0;10.1551011908304;0.999999999969822;0.512407228335567
development;mrmr;glm;ensemble.1.1;1;10.1551011908304;1.42929940931356e-11;0.512407228335567
development;mrmr;glm;ensemble.1.1;2;10.1551011908304;1.92082992394155e-11;0.512407228335567
development;mrmr;glm;ensemble.1.1;0;10.3702496408809;0.999999998332382;0.514448022531207
development;mrmr;glm;ensemble.1.1;1;10.3702496408809;8.21602628928893e-10;0.514448022531207
development;mrmr;glm;ensemble.1.1;2;10.3702496408809;1.04067654523273e-09;0.514448022531207
development;mrmr;glm;ensemble.1.1;0;10.5426570183814;0.999999959020648;0.515979719975188
development;mrmr;glm;ensemble.1.1;1;10.5426570183814;2.07958141057739e-08;0.515979719975188
development;mrmr;glm;ensemble.1.1;2;10.5426570183814;2.51787823650013e-08;0.515979719975188
development;mrmr;glm;ensemble.1.1;0;10.6782165594268;0.999999496149872;0.514805296476601
development;mrmr;glm;ensemble.1.1;1;10.6782165594268;2.61383907708436e-07;0.514805296476601
development;mrmr;glm;ensemble.1.1;2;10.6782165594268;3.05882419551897e-07;0.514805296476601
development;mrmr;glm;ensemble.1.1;0;10.7828215001119;0.999996523918435;0.516835597620646
development;mrmr;glm;ensemble.1.1;1;10.7828215001119;1.83289432027979e-06;0.516835597620646
development;mrmr;glm;ensemble.1.1;2;10.7828215001119;2.09110813297225e-06;0.516835597620646
development;mrmr;glm;ensemble.1.1;0;10.8623650765318;0.999984944340833;0.516206457985881
development;mrmr;glm;ensemble.1.1;1;10.8623650765318;8.0342574074891e-06;0.516206457985881
development;mrmr;glm;ensemble.1.1;2;10.8623650765318;8.99510466206988e-06;0.516206457985881
development;mrmr;glm;ensemble.1.1;0;10.9227405247813;0.999954270584613;0.515621468655296
development;mrmr;glm;ensemble.1.1;1;10.9227405247813;2.36841606789737e-05;0.515621468655296
development;mrmr;glm;ensemble.1.1;2;10.9227405247813;2.71808164060227e-05;0.515621468655296
development;mrmr;glm;ensemble.1.1;0;10.9698410809555;0.999891314384121;0.516407756325399
development;mrmr;glm;ensemble.1.1;1;10.9698410809555;5.48305373198218e-05;0.516407756325399
development;mrmr;glm;ensemble.1.1;2;10.9698410809555;6.47989470632027e-05;0.516407756325399
development;mrmr;glm;ensemble.1.1;0;11.009551009075;0.999774656829314;0.516985536573776
development;mrmr;glm;ensemble.1.1;1;11.009551009075;0.000111239563306756;0.516985536573776
development;mrmr;glm;ensemble.1.1;2;11.009551009075;0.000135167830240298;0.516985536573776
development;mrmr;glm;ensemble.1.1;0;11.0466689521845;0.999554788369575;0.516045492095205
development;mrmr;glm;ensemble.1.1;1;11.0466689521845;0.000215432947343965;0.516045492095205
development;mrmr;glm;ensemble.1.1;2;11.0466689521845;0.000268515189710441;0.516045492095205
development;mrmr;glm;ensemble.1.1;0;11.0838851158956;0.999119451206561;0.515512358974449
development;mrmr;glm;ensemble.1.1;1;11.0838851158956;0.000417783715551502;0.515512358974449
development;mrmr;glm;ensemble.1.1;2;11.0838851158956;0.000533896340217694;0.515512358974449
development;mrmr;glm;ensemble.1.1;0;11.1236474598169;0.998177157594422;0.513928995094973
development;mrmr;glm;ensemble.1.1;1;11.1236474598169;0.000847185770036968;0.513928995094973
development;mrmr;glm;ensemble.1.1;2;11.1236474598169;0.00111131285933195;0.513928995094973
development;mrmr;glm;ensemble.1.1;0;11.1684039435572;0.995873459333925;0.513165912201348
development;mrmr;glm;ensemble.1.1;1;11.1684039435572;0.00191074029662243;0.513165912201348
development;mrmr;glm;ensemble.1.1;2;11.1684039435572;0.00240224841179632;0.513165912201348
development;mrmr;glm;ensemble.1.1;0;11.220602526725;0.989820579867518;0.512026874160702
development;mrmr;glm;ensemble.1.1;1;11.220602526725;0.00503236132632011;0.512026874160702
development;mrmr;glm;ensemble.1.1;2;11.220602526725;0.00585919514005556;0.512026874160702
development;mrmr;glm;ensemble.1.1;0;11.282691168929;0.969108986263188;0.510963205989468
development;mrmr;glm;ensemble.1.1;1;11.282691168929;0.015700985074013;0.510963205989468
development;mrmr;glm;ensemble.1.1;2;11.282691168929;0.0167523728547358;0.510963205989468
development;mrmr;glm;ensemble.1.1;0;11.357117829778;0.888328284365968;0.51053976395316
development;mrmr;glm;ensemble.1.1;1;11.357117829778;0.056532989708805;0.51053976395316
development;mrmr;glm;ensemble.1.1;2;11.357117829778;0.0562107646540783;0.51053976395316
development;mrmr;glm;ensemble.1.1;0;11.4463304688806;0.613659850387631;0.5103928207854
development;mrmr;glm;ensemble.1.1;1;11.4463304688806;0.19818793666953;0.5103928207854
development;mrmr;glm;ensemble.1.1;2;11.4463304688806;0.183731421184752;0.5103928207854
development;mrmr;glm;ensemble.1.1;0;11.5527770458454;0.177345223701056;0.509657634577812
development;mrmr;glm;ensemble.1.1;1;11.5527770458454;0.429799558590028;0.509657634577812
development;mrmr;glm;ensemble.1.1;2;11.5527770458454;0.36477502829957;0.509657634577812
development;mrmr;glm;ensemble.1.1;0;11.6789055202811;0.0225436524701546;0.507523693470167
development;mrmr;glm;ensemble.1.1;1;11.6789055202811;0.535501444381945;0.507523693470167
development;mrmr;glm;ensemble.1.1;2;11.6789055202811;0.434540041708457;0.507523693470167
development;mrmr;glm;ensemble.1.1;0;11.8271638517964;0.00156888977019286;0.501831245369263
development;mrmr;glm;ensemble.1.1;1;11.8271638517964;0.575022580727706;0.501831245369263
development;mrmr;glm;ensemble.1.1;2;11.8271638517964;0.422475401751036;0.501831245369263
development;mrmr;glm;ensemble.1.1;0;12;7.07771461459022e-05;0.497485259117932
development;mrmr;glm;ensemble.1.1;1;12;0.612614782108024;0.497485259117932
development;mrmr;glm;ensemble.1.1;2;12;0.387201525361472;0.497485259117932
validation;mrmr;glm;ensemble.1.1;0;0;1;0.48938235758646
validation;mrmr;glm;ensemble.1.1;1;0;2.6721349393279e-119;0.48938235758646
validation;mrmr;glm;ensemble.1.1;2;0;5.12787280227438e-115;0.48938235758646
validation;mrmr;glm;ensemble.1.1;0;0.069397104947768;1;0.49942135270964
validation;mrmr;glm;ensemble.1.1;1;0.069397104947768;5.19007862210397e-118;0.49942135270964
validation;mrmr;glm;ensemble.1.1;2;0.069397104947768;7.2520142364608e-114;0.49942135270964
validation;mrmr;glm;ensemble.1.1;0;0.360058309037901;1;0.529668410701553
validation;mrmr;glm;ensemble.1.1;1;0.360058309037901;1.01281246394082e-112;0.529668410701553
validation;mrmr;glm;ensemble.1.1;2;0.360058309037901;3.7213586130481e-109;0.529668410701553
validation;mrmr;glm;ensemble.1.1;0;0.845241636846324;1;0.62707450939671
validation;mrmr;glm;ensemble.1.1;1;0.845241636846324;1.19871493770806e-104;0.62707450939671
validation;mrmr;glm;ensemble.1.1;2;0.845241636846324;1.31763514607848e-101;0.62707450939671
validation;mrmr;glm;ensemble.1.1;0;1.49013166282756;1;0.662283707985957
validation;mrmr;glm;ensemble.1.1;1;1.49013166282756;1.397936842034e-95;0.662283707985957
validation;mrmr;glm;ensemble.1.1;2;1.49013166282756;1.91931198905857e-92;0.662283707985957
validation;mrmr;glm;ensemble.1.1;0;2.25991296143614;1;0.68001206337129
validation;mrmr;glm;ensemble.1.1;1;2.25991296143614;1.37168448808795e-85;0.68001206337129
validation;mrmr;glm;ensemble.1.1;2;2.25991296143614;1.24014453561799e-82;0.68001206337129
validation;mrmr;glm;ensemble.1.1;0;3.11977010712656;1;0.663254762266519
validation;mrmr;glm;ensemble.1.1;1;3.11977010712656;2.3668921092245e-75;0.663254762266519
validation;mrmr;glm;ensemble.1.1;2;3.11977010712656;1.029389336098e-72;0.663254762266519
validation;mrmr;glm;ensemble.1.1;0;4.03488767435337;1;0.624364395532584
validation;mrmr;glm;ensemble.1.1;1;4.03488767435337;1.3197292774411e-65;0.624364395532584
validation;mrmr;glm;ensemble.1.1;2;4.03488767435337;4.54819655957768e-64;0.624364395532584
validation;mrmr;glm;ensemble.1.1;0;4.97045023757108;1;0.616878117388148
validation;mrmr;glm;ensemble.1.1;1;4.97045023757108;4.62293201679026e-57;0.616878117388148
validation;mrmr;glm;ensemble.1.1;2;4.97045023757108;8.85179787945516e-56;0.616878117388148
validation;mrmr;glm;ensemble.1.1;0;5.89164237123421;1;0.57681042780731
validation;mrmr;glm;ensemble.1.1;1;5.89164237123421;1.25263710903369e-48;0.57681042780731
validation;mrmr;glm;ensemble.1.1;2;5.89164237123421;1.2811881058876e-47;0.57681042780731
validation;mrmr;glm;ensemble.1.1;0;6.76364864979728;1;0.575148986331611
validation;mrmr;glm;ensemble.1.1;1;6.76364864979728;1.00947589168509e-40;0.575148986331611
validation;mrmr;glm;ensemble.1.1;2;6.76364864979728;6.21967988958998e-40;0.575148986331611
validation;mrmr;glm;ensemble.1.1;0;7.55165364771481;1;0.559261098686404
validation;mrmr;glm;ensemble.1.1;1;7.55165364771481;1.06018147051365e-33;0.559261098686404
validation;mrmr;glm;ensemble.1.1;2;7.55165364771481;4.16828121946018e-33;0.559261098686404
validation;mrmr;glm;ensemble.1.1;0;8.22084193944133;1;0.535753496909329
validation;mrmr;glm;ensemble.1.1;1;8.22084193944133;7.53023804269973e-28;0.535753496909329
validation;mrmr;glm;ensemble.1.1;2;8.22084193944133;2.00547187417184e-27;0.535753496909329
validation;mrmr;glm;ensemble.1.1;0;8.74923194322849;1;0.529323853055224
validation;mrmr;glm;ensemble.1.1;1;8.74923194322849;2.58144399650235e-23;0.529323853055224
validation;mrmr;glm;ensemble.1.1;2;8.74923194322849;5.51568439915456e-23;0.529323853055224
validation;mrmr;glm;ensemble.1.1;0;9.19427704442877;1;0.518423171524893
validation;mrmr;glm;ensemble.1.1;1;9.19427704442877;1.50606756822071e-19;0.518423171524893
validation;mrmr;glm;ensemble.1.1;2;9.19427704442877;2.74081640458379e-19;0.518423171524893
validation;mrmr;glm;ensemble.1.1;0;9.57300812869921;1;0.513378430390021
validation;mrmr;glm;ensemble.1.1;1;9.57300812869921;2.22008666017642e-16;0.513378430390021
validation;mrmr;glm;ensemble.1.1;2;9.57300812869921;3.55869041204634e-16;0.513378430390021
validation;mrmr;glm;ensemble.1.1;0;9.89131843213476;0.999999999999785;0.513930058749386
validation;mrmr;glm;ensemble.1.1;1;9.89131843213476;9.65785195751393e-14;0.513930058749386
validation;mrmr;glm;ensemble.1.1;2;9.89131843213476;1.4017871802152e-13;0.513930058749386
validation;mrmr;glm;ensemble.1.1;0;10.1551011908304;0.999999999969822;0.512407228335567
validation;mrmr;glm;ensemble.1.1;1;10.1551011908304;1.42929940931356e-11;0.512407228335567
validation;mrmr;glm;ensemble.1.1;2;10.1551011908304;1.92082992394155e-11;0.512407228335567
validation;mrmr;glm;ensemble.1.1;0;10.3702496408809;0.999999998332382;0.514448022531207
validation;mrmr;glm;ensemble.1.1;1;10.3702496408809;8.21602628928893e-10;0.514448022531207
validation;mrmr;glm;ensemble.1.1;2;10.3702496408809;1.04067654523273e-09;0.514448022531207
validation;mrmr;glm;ensemble.1.1;0;10.5426570183814;0.999999959020648;0.515979719975188
validation;mrmr;glm;ensemble.1.1;1;10.5426570183814;2.07958141057739e-08;0.515979719975188
validation;mrmr;glm;ensemble.1.1;2;10.5426570183814;2.51787823650013e-08;0.515979719975188
validation;mrmr;glm;ensemble.1.1;0;10.6782165594268;0.999999496149872;0.514805296476601
validation;mrmr;glm;ensemble.1.1;1;10.6782165594268;2.61383907708436e-07;0.514805296476601
validation;mrmr;glm;ensemble.1.1;2;10.6782165594268;3.05882419551897e-07;0.514805296476601
validation;mrmr;glm;ensemble.1.1;0;10.7828215001119;0.999996523918435;0.516835597620646
validation;mrmr;glm;ensemble.1.1;1;10.7828215001119;1.83289432027979e-06;0.516835597620646
validation;mrmr;glm;ensemble.1.1;2;10.7828215001119;2.09110813297225e-06;0.516835597620646
validation;mrmr;glm;ensemble.1.1;0;10.8623650765318;0.999984944340833;0.516206457985881
validation;mrmr;glm;ensemble.1.1;1;10.8623650765318;8.0342574074891e-06;0.516206457985881
validation;mrmr;glm;ensemble.1.1;2;10.8623650765318;8.99510466206988e-06;0.516206457985881
validation;mrmr;glm;ensemble.1.1;0;10.9227405247813;0.999954270584613;0.515621468655296
validation;mrmr;glm;ensemble.1.1;1;10.9227405247813;2.36841606789737e-05;0.515621468655296
validation;mrmr;glm;ensemble.1.1;2;10.9227405247813;2.71808164060227e-05;0.515621468655296
validation;mrmr;glm;ensemble.1.1;0;10.9698410809555;0.999891314384121;0.516407756325399
validation;mrmr;glm;ensemble.1.1;1;10.9698410809555;5.48305373198218e-05;0.516407756325399
validation;mrmr;glm;ensemble.1.1;2;10.9698410809555;6.47989470632027e-05;0.516407756325399
validation;mrmr;glm;ensemble.1.1;0;11.009551009075;0.999774656829314;0.516985536573776
validation;mrmr;glm;ensemble.1.1;1;11.009551009075;0.000111239563306756;0.516985536573776
validation;mrmr;glm;ensemble.1.1;2;11.009551009075;0.000135167830240298;0.516985536573776
validation;mrmr;glm;ensemble.1.1;0;11.0466689521845;0.999554788369575;0.516045492095205
validation;mrmr;glm;ensemble.1.1;1;11.0466689521845;0.000215432947343965;0.516045492095205
validation;mrmr;glm;ensemble.1.1;2;11.0466689521845;0.000268515189710441;0.516045492095205
validation;mrmr;glm;ensemble.1.1;0;11.0838851158956;0.999119451206561;0.515512358974449
validation;mrmr;glm;ensemble.1.1;1;11.0838851158956;0.000417783715551502;0.515512358974449
validation;mrmr;glm;ensemble.1.1;2;11.0838851158956;0.000533896340217694;0.515512358974449
validation;mrmr;glm;ensemble.1.1;0;11.1236474598169;0.998177157594422;0.513928995094973
validation;mrmr;glm;ensemble.1.1;1;11.1236474598169;0.000847185770036968;0.513928995094973
validation;mrmr;glm;ensemble.1.1;2;11.1236474598169;0.00111131285933195;0.513928995094973
validation;mrmr;glm;ensemble.1.1;0;11.1684039435572;0.995873459333925;0.513165912201348
validation;mrmr;glm;ensemble.1.1;1;11.1684039435572;0.00191074029662243;0.513165912201348
validation;mrmr;glm;ensemble.1.1;2;11.1684039435572;0.00240224841179632;0.513165912201348
validation;mrmr;glm;ensemble.1.1;0;11.220602526725;0.989820579867518;0.512026874160702
validation;mrmr;glm;ensemble.1.1;1;11.220602526725;0.00503236132632011;0.512026874160702
validation;mrmr;glm;ensemble.1.1;2;11.220602526725;0.00585919514005556;0.512026874160702
validation;mrmr;glm;ensemble.1.1;0;11.282691168929;0.969108986263188;0.510963205989468
validation;mrmr;glm;ensemble.1.1;1;11.282691168929;0.015700985074013;0.510963205989468
validation;mrmr;glm;ensemble.1.1;2;11.282691168929;0.0167523728547358;0.510963205989468
validation;mrmr;glm;ensemble.1.1;0;11.357117829778;0.888328284365968;0.51053976395316
validation;mrmr;glm;ensemble.1.1;1;11.357117829778;0.056532989708805;0.51053976395316
validation;mrmr;glm;ensemble.1.1;2;11.357117829778;0.0562107646540783;0.51053976395316
validation;mrmr;glm;ensemble.1.1;0;11.4463304688806;0.613659850387631;0.5103928207854
validation;mrmr;glm;ensemble.1.1;1;11.4463304688806;0.19818793666953;0.5103928207854
validation;mrmr;glm;ensemble.1.1;2;11.4463304688806;0.183731421184752;0.5103928207854
validation;mrmr;glm;ensemble.1.1;0;11.5527770458454;0.177345223701056;0.509657634577812
validation;mrmr;glm;ensemble.1.1;1;11.5527770458454;0.429799558590028;0.509657634577812
validation;mrmr;glm;ensemble.1.1;2;11.5527770458454;0.36477502829957;0.509657634577812
validation;mrmr;glm;ensemble.1.1;0;11.6789055202811;0.0225436524701546;0.507523693470167
validation;mrmr;glm;ensemble.1.1;1;11.6789055202811;0.535501444381945;0.507523693470167
validation;mrmr;glm;ensemble.1.1;2;11.6789055202811;0.434540041708457;0.507523693470167
validation;mrmr;glm;ensemble.1.1;0;11.8271638517964;0.00156888977019286;0.501831245369263
validation;mrmr;glm;ensemble.1.1;1;11.8271638517964;0.575022580727706;0.501831245369263
validation;mrmr;glm;ensemble.1.1;2;11.8271638517964;0.422475401751036;0.501831245369263
validation;mrmr;glm;ensemble.1.1;0;12;7.07771461459022e-05;0.497485259117932
validation;mrmr;glm;ensemble.1.1;1;12;0.612614782108024;0.497485259117932
validation;mrmr;glm;ensemble.1.1;2;12;0.387201525361472;0.497485259117932
